country;group;week;zscore
UK (England);Total;2017-03;4.6
UK (England);Total;2017-04;4.75
UK (England);Total;2017-05;4.7
UK (England);Total;2017-06;2.11
UK (England);Total;2017-07;2.96
UK (England);Total;2017-08;0.7
UK (England);Total;2017-09;0.82
UK (England);Total;2017-10;-0.3
UK (England);Total;2017-11;-2.34
UK (England);Total;2017-12;-2.92
UK (England);Total;2017-13;-1.3
UK (England);Total;2017-14;-2.42
UK (England);Total;2017-15;-2.16
UK (England);Total;2017-16;-1.87
UK (England);Total;2017-17;0.11
UK (England);Total;2017-18;0.56
UK (England);Total;2017-19;1.02
UK (England);Total;2017-20;0.89
UK (England);Total;2017-21;1.48
UK (England);Total;2017-22;-1.84
UK (England);Total;2017-23;-1.07
UK (England);Total;2017-24;1.45
UK (England);Total;2017-25;2.04
UK (England);Total;2017-26;-0.36
UK (England);Total;2017-27;1.08
UK (England);Total;2017-28;-0.71
UK (England);Total;2017-29;-0.26
UK (England);Total;2017-30;-0.13
UK (England);Total;2017-31;-0.09
UK (England);Total;2017-32;0.92
UK (England);Total;2017-33;0.67
UK (England);Total;2017-34;1.11
UK (England);Total;2017-35;-0.8
UK (England);Total;2017-36;0.33
UK (England);Total;2017-37;-0.18
UK (England);Total;2017-38;1.05
UK (England);Total;2017-39;1.2
UK (England);Total;2017-40;0.57
UK (England);Total;2017-41;1.06
UK (England);Total;2017-42;0.11
UK (England);Total;2017-43;-0.55
UK (England);Total;2017-44;-0.34
UK (England);Total;2017-45;-0.37
UK (England);Total;2017-46;0.12
UK (England);Total;2017-47;1.2
UK (England);Total;2017-48;0.96
UK (England);Total;2017-49;2.71
UK (England);Total;2017-50;4.32
UK (England);Total;2017-51;6.39
UK (England);Total;2017-52;7.58
UK (England);Total;2018-01;10.13
UK (England);Total;2018-02;8.56
UK (England);Total;2018-03;8.42
UK (England);Total;2018-04;6.92
UK (England);Total;2018-05;4.57
UK (England);Total;2018-06;3.38
UK (England);Total;2018-07;4.53
UK (England);Total;2018-08;3.53
UK (England);Total;2018-09;5.81
UK (England);Total;2018-10;6.87
UK (England);Total;2018-11;3.69
UK (England);Total;2018-12;3.34
UK (England);Total;2018-13;2.61
UK (England);Total;2018-14;1.26
UK (England);Total;2018-15;0.67
UK (England);Total;2018-16;-0.78
UK (England);Total;2018-17;-1.65
UK (England);Total;2018-18;-0.77
UK (England);Total;2018-19;-0.82
UK (England);Total;2018-20;-1.09
UK (England);Total;2018-21;-0.59
UK (England);Total;2018-22;-0.22
UK (England);Total;2018-23;-1.44
UK (England);Total;2018-24;-0.17
UK (England);Total;2018-25;-0.82
UK (England);Total;2018-26;1.77
UK (England);Total;2018-27;1.32
UK (England);Total;2018-28;-0.16
UK (England);Total;2018-29;0.2
UK (England);Total;2018-30;1.87
UK (England);Total;2018-31;-0.08
UK (England);Total;2018-32;-1.03
UK (England);Total;2018-33;-1.04
UK (England);Total;2018-34;-1.66
UK (England);Total;2018-35;-0.98
UK (England);Total;2018-36;-1.22
UK (England);Total;2018-37;-1.05
UK (England);Total;2018-38;-0.94
UK (England);Total;2018-39;-0.25
UK (England);Total;2018-40;-0.85
UK (England);Total;2018-41;0.74
UK (England);Total;2018-42;-2.51
UK (England);Total;2018-43;-2.32
UK (England);Total;2018-44;0.05
UK (England);Total;2018-45;-0.39
UK (England);Total;2018-46;-2.15
UK (England);Total;2018-47;-2.23
UK (England);Total;2018-48;-1.12
UK (England);Total;2018-49;-1.39
UK (England);Total;2018-50;-1.45
UK (England);Total;2018-51;-0.13
UK (England);Total;2018-52;-0.1
UK (England);Total;2019-01;0.85
UK (England);Total;2019-02;1.49
UK (England);Total;2019-03;1.35
UK (England);Total;2019-04;1.52
UK (England);Total;2019-05;1.96
UK (England);Total;2019-06;2.76
UK (England);Total;2019-07;1.17
UK (England);Total;2019-08;-0.14
UK (England);Total;2019-09;-0.12
UK (England);Total;2019-10;-1.14
UK (England);Total;2019-11;-1.34
UK (England);Total;2019-12;-2.14
UK (England);Total;2019-13;-2.87
UK (England);Total;2019-14;-0.15
UK (England);Total;2019-15;0.27
UK (England);Total;2019-16;1.56
UK (England);Total;2019-17;0.37
UK (England);Total;2019-18;-1.17
UK (England);Total;2019-19;-0.71
UK (England);Total;2019-20;0.31
UK (England);Total;2019-21;1.14
UK (England);Total;2019-22;-0.04
UK (England);Total;2019-23;-0.85
UK (England);Total;2019-24;0.39
UK (England);Total;2019-25;0.17
UK (England);Total;2019-26;0.59
UK (England);Total;2019-27;0.59
UK (England);Total;2019-28;0
UK (England);Total;2019-29;-0.14
UK (England);Total;2019-30;2.92
UK (England);Total;2019-31;0.29
UK (England);Total;2019-32;-0.55
UK (England);Total;2019-33;-0.61
UK (England);Total;2019-34;0.57
UK (England);Total;2019-35;0.41
UK (England);Total;2019-36;-0.84
UK (England);Total;2019-37;0.6
UK (England);Total;2019-38;0.15
UK (England);Total;2019-39;0.45
UK (England);Total;2019-40;0.39
UK (England);Total;2019-41;1.72
UK (England);Total;2019-42;0.94
UK (England);Total;2019-43;0.89
UK (England);Total;2019-44;1.87
UK (England);Total;2019-45;0.69
UK (England);Total;2019-46;1.62
UK (England);Total;2019-47;2.55
UK (England);Total;2019-48;0.31
UK (England);Total;2019-49;1.95
UK (England);Total;2019-50;2.79
UK (England);Total;2019-51;4.79
UK (England);Total;2019-52;4.01
UK (England);Total;2020-01;4.51
UK (England);Total;2020-02;3.28
UK (England);Total;2020-03;0.73
UK (England);Total;2020-04;-0.13
UK (England);Total;2020-05;-0.49
UK (England);Total;2020-06;-0.91
UK (England);Total;2020-07;-0.57
UK (England);Total;2020-08;-0.74
UK (England);Total;2020-09;-0.26
UK (England);Total;2020-10;0.48
UK (England);Total;2020-11;0.27
UK (England);Total;2020-12;4.65
UK (England);Total;2020-13;13.91
UK (England);Total;2020-14;30.35
UK (England);Total;2020-15;38.56
UK (England);Total;2020-16;33.45
UK (England);Total;2020-17;27.19
UK (England);Total;2020-18;18.87
UK (England);Total;2020-19;13.05
UK (England);Total;2020-20;7.67
UK (England);Total;2020-21;5.49
UK (England);Total;2020-22;3
UK (England);Total;2020-23;2.02
UK (England);Total;2020-24;0.85
UK (England);Total;2020-25;-0.1
UK (England);Total;2020-26;1.92
UK (England);Total;2020-27;-1.66
UK (England);Total;2020-28;-1.14
UK (England);Total;2020-29;0.08
UK (England);Total;2020-30;-0.14
UK (England);Total;2020-31;-0.2
UK (England);Total;2020-32;0.55
UK (England);Total;2020-33;4.14
UK (England);Total;2020-34;-2.15
UK (England);Total;2020-35;-1.61
UK (England);Total;2020-36;-0.07
UK (England);Total;2020-37;-0.53
UK (England);Total;2020-38;0.62
UK (England);Total;2020-39;0.5
UK (England);Total;2020-40;1.9
UK (England);Total;2020-41;1.42
UK (England);Total;2020-42;2.61
UK (England);Total;2020-43;3.71
UK (England);Total;2020-44;4.86
UK (England);Total;2020-45;5.71
UK (England);Total;2020-46;6.43
UK (England);Total;2020-47;6.04
UK (England);Total;2020-48;5.96
UK (England);Total;2020-49;5.83
UK (England);Total;2020-50;6.89
UK (England);Total;2020-51;6.44
UK (England);Total;2020-52;9.03
UK (England);Total;2020-53;11.77
UK (England);Total;2021-01;17.74
UK (England);Total;2021-02;22.45
UK (England);Total;2021-03;22.62
UK (England);Total;2021-04;18.69
UK (England);Total;2021-05;12.3
UK (England);Total;2021-06;8.37
UK (England);Total;2021-07;6.43
UK (England);Total;2021-08;0.4
UK (England);Total;2021-09;-1.59
UK (England);Total;2021-10;-1.54
UK (England);Total;2021-11;-3.34
UK (England);Total;2021-12;-3.92
UK (England);Total;2021-13;-3.99
UK (England);Total;2021-14;-3.55
UK (England);Total;2021-15;-2.65
UK (England);Total;2021-16;-2.61
UK (England);Total;2021-17;-2.85
UK (England);Total;2021-18;-1.89
UK (England);Total;2021-19;-1.7
UK (England);Total;2021-20;-1.75
UK (England);Total;2021-21;-0.83
UK (England);Total;2021-22;-0.39
UK (England);Total;2021-23;-1.63
UK (England);Total;2021-24;-1.37
UK (England);Total;2021-25;-1.17
UK (England);Total;2021-26;1.17
UK (England);Total;2021-27;2.2
UK (England);Total;2021-28;2.57
UK (England);Total;2021-29;7.17
UK (England);Total;2021-30;3.44
UK (England);Total;2021-31;3.19
UK (England);Total;2021-32;3.82
UK (England);Total;2021-33;3.67
UK (England);Total;2021-34;2.85
UK (England);Total;2021-35;4.69
UK (England);Total;2021-36;7.24
UK (England);Total;2021-37;3.28
UK (England);Total;2021-38;2.8
UK (England);Total;2021-39;3.31
UK (England);Total;2021-40;4.89
UK (England);Total;2021-41;4.25
UK (England);Total;2021-42;4.61
UK (England);Total;2021-43;5.35
UK (England);Total;2021-44;4.69
UK (England);Total;2021-45;4.54
UK (England);Total;2021-46;2.47
UK (England);Total;2021-47;2.93
UK (England);Total;2021-48;5.7
UK (England);Total;2021-49;4.93
UK (England);Total;2021-50;2.81
UK (England);Total;2021-51;3.51
UK (England);Total;2021-52;4.74
UK (England);Total;2022-01;2.69
UK (England);Total;2022-02;2.78
UK (England);Total;2022-03;1.24
UK (England);Total;2022-04;1.75
UK (England);Total;2022-05;1.18
UK (England);Total;2022-06;0.14
UK (England);Total;2022-07;0.65
UK (England);Total;2022-08;-0.41
UK (England);Total;2022-09;-0.09
UK (England);Total;2022-10;1.1
UK (England);Total;2022-11;0.57
UK (England);Total;2022-12;1.18
UK (England);Total;2022-13;3.19
UK (England);Total;2022-14;5.05
UK (England);Total;2022-15;4.72
UK (England);Total;2022-16;2.35
UK (England);Total;2022-17;2.95
UK (England);Total;2022-18;3.25
UK (England);Total;2022-19;2.46
UK (England);Total;2022-20;1.57
UK (England);Total;2022-21;1.13
UK (England);Total;2022-22;1.85
UK (England);Total;2022-23;2.75
UK (England);Total;2022-24;4.58
UK (England);Total;2022-25;3.12
UK (England);Total;2022-26;3.4
UK (England);Total;2022-27;5.28
UK (England);Total;2022-28;5.9
UK (England);Total;2022-29;9.95
UK (England);Total;2022-30;3.64
UK (England);Total;2022-31;2.63
UK (England);Total;2022-32;7.63
UK (England);Total;2022-33;4.3
UK (England);Total;2022-34;1.33
UK (England);Total;2022-35;1.81
UK (England);Total;2022-36;0.76
UK (England);Total;2022-37;0.92
UK (England);Total;2022-38;3.16
UK (England);Total;2022-39;5.35
UK (England);Total;2022-40;5.86
UK (England);Total;2022-41;5.97
UK (England);Total;2022-42;5.26
UK (England);Total;2022-43;3.4
UK (England);Total;2022-44;2.21
UK (England);Total;2022-45;3.03
UK (England);Total;2022-46;0.95
UK (England);Total;2022-47;3.28
UK (England);Total;2022-48;2.93
UK (England);Total;2022-49;6.16
UK (England);Total;2022-50;9.47
UK (England);Total;2022-51;12.88
UK (England);Total;2022-52;8.08
UK (England);Total;2023-01;-3.07
UK (Wales);Total;2017-03;3.9
UK (Wales);Total;2017-04;1.97
UK (Wales);Total;2017-05;-0.21
UK (Wales);Total;2017-06;-0.46
UK (Wales);Total;2017-07;0.51
UK (Wales);Total;2017-08;0.38
UK (Wales);Total;2017-09;-1.33
UK (Wales);Total;2017-10;-1.22
UK (Wales);Total;2017-11;-1.27
UK (Wales);Total;2017-12;-1.69
UK (Wales);Total;2017-13;0.2
UK (Wales);Total;2017-14;-0.3
UK (Wales);Total;2017-15;0.03
UK (Wales);Total;2017-16;0.95
UK (Wales);Total;2017-17;0.23
UK (Wales);Total;2017-18;1.07
UK (Wales);Total;2017-19;0.02
UK (Wales);Total;2017-20;-0.24
UK (Wales);Total;2017-21;1.86
UK (Wales);Total;2017-22;-1.49
UK (Wales);Total;2017-23;0.91
UK (Wales);Total;2017-24;0.43
UK (Wales);Total;2017-25;1.59
UK (Wales);Total;2017-26;-0.95
UK (Wales);Total;2017-27;0.32
UK (Wales);Total;2017-28;0.98
UK (Wales);Total;2017-29;1.3
UK (Wales);Total;2017-30;1.11
UK (Wales);Total;2017-31;0.63
UK (Wales);Total;2017-32;-0.11
UK (Wales);Total;2017-33;1.41
UK (Wales);Total;2017-34;-0.64
UK (Wales);Total;2017-35;-0.65
UK (Wales);Total;2017-36;-0.03
UK (Wales);Total;2017-37;-0.07
UK (Wales);Total;2017-38;1.06
UK (Wales);Total;2017-39;-0.62
UK (Wales);Total;2017-40;1.52
UK (Wales);Total;2017-41;1.87
UK (Wales);Total;2017-42;0.15
UK (Wales);Total;2017-43;-1.58
UK (Wales);Total;2017-44;-2.02
UK (Wales);Total;2017-45;0.36
UK (Wales);Total;2017-46;-0.65
UK (Wales);Total;2017-47;-1.18
UK (Wales);Total;2017-48;-0.49
UK (Wales);Total;2017-49;0.26
UK (Wales);Total;2017-50;0.97
UK (Wales);Total;2017-51;1.77
UK (Wales);Total;2017-52;3.14
UK (Wales);Total;2018-01;3.01
UK (Wales);Total;2018-02;5.21
UK (Wales);Total;2018-03;4.13
UK (Wales);Total;2018-04;2.8
UK (Wales);Total;2018-05;2.19
UK (Wales);Total;2018-06;2.55
UK (Wales);Total;2018-07;3.61
UK (Wales);Total;2018-08;1.55
UK (Wales);Total;2018-09;4.07
UK (Wales);Total;2018-10;5.63
UK (Wales);Total;2018-11;2.52
UK (Wales);Total;2018-12;1.97
UK (Wales);Total;2018-13;1.58
UK (Wales);Total;2018-14;1.44
UK (Wales);Total;2018-15;0.57
UK (Wales);Total;2018-16;-0.45
UK (Wales);Total;2018-17;-0.46
UK (Wales);Total;2018-18;-2.13
UK (Wales);Total;2018-19;-0.71
UK (Wales);Total;2018-20;-0.32
UK (Wales);Total;2018-21;0.6
UK (Wales);Total;2018-22;0.12
UK (Wales);Total;2018-23;0.08
UK (Wales);Total;2018-24;-1.71
UK (Wales);Total;2018-25;-0.72
UK (Wales);Total;2018-26;2.31
UK (Wales);Total;2018-27;1.74
UK (Wales);Total;2018-28;0.48
UK (Wales);Total;2018-29;-0.69
UK (Wales);Total;2018-30;-0.13
UK (Wales);Total;2018-31;-0.46
UK (Wales);Total;2018-32;-2.34
UK (Wales);Total;2018-33;-0.91
UK (Wales);Total;2018-34;0.44
UK (Wales);Total;2018-35;1.09
UK (Wales);Total;2018-36;-0.11
UK (Wales);Total;2018-37;0.55
UK (Wales);Total;2018-38;0.08
UK (Wales);Total;2018-39;-0.08
UK (Wales);Total;2018-40;-0.65
UK (Wales);Total;2018-41;0.11
UK (Wales);Total;2018-42;-0.13
UK (Wales);Total;2018-43;-1.65
UK (Wales);Total;2018-44;0.7
UK (Wales);Total;2018-45;-1.04
UK (Wales);Total;2018-46;0.53
UK (Wales);Total;2018-47;-0.42
UK (Wales);Total;2018-48;-0.42
UK (Wales);Total;2018-49;-0.87
UK (Wales);Total;2018-50;-1.63
UK (Wales);Total;2018-51;0.7
UK (Wales);Total;2018-52;-1.66
UK (Wales);Total;2019-01;-0.06
UK (Wales);Total;2019-02;-0.18
UK (Wales);Total;2019-03;-0.96
UK (Wales);Total;2019-04;-0.11
UK (Wales);Total;2019-05;-0.2
UK (Wales);Total;2019-06;-0.6
UK (Wales);Total;2019-07;0
UK (Wales);Total;2019-08;-0.84
UK (Wales);Total;2019-09;-2.26
UK (Wales);Total;2019-10;-1.98
UK (Wales);Total;2019-11;-0.19
UK (Wales);Total;2019-12;-1.29
UK (Wales);Total;2019-13;-1.3
UK (Wales);Total;2019-14;-0.34
UK (Wales);Total;2019-15;0.96
UK (Wales);Total;2019-16;1.58
UK (Wales);Total;2019-17;-0.69
UK (Wales);Total;2019-18;0.42
UK (Wales);Total;2019-19;0.17
UK (Wales);Total;2019-20;0.92
UK (Wales);Total;2019-21;-2.08
UK (Wales);Total;2019-22;0.41
UK (Wales);Total;2019-23;-0.05
UK (Wales);Total;2019-24;-0.85
UK (Wales);Total;2019-25;-0.76
UK (Wales);Total;2019-26;0.21
UK (Wales);Total;2019-27;-0.03
UK (Wales);Total;2019-28;-0.01
UK (Wales);Total;2019-29;-0.62
UK (Wales);Total;2019-30;0.92
UK (Wales);Total;2019-31;-1.09
UK (Wales);Total;2019-32;0.53
UK (Wales);Total;2019-33;-0.93
UK (Wales);Total;2019-34;1.46
UK (Wales);Total;2019-35;0.02
UK (Wales);Total;2019-36;-0.55
UK (Wales);Total;2019-37;0.39
UK (Wales);Total;2019-38;0.83
UK (Wales);Total;2019-39;0.95
UK (Wales);Total;2019-40;-0.79
UK (Wales);Total;2019-41;0.74
UK (Wales);Total;2019-42;1.89
UK (Wales);Total;2019-43;-0.22
UK (Wales);Total;2019-44;-0.4
UK (Wales);Total;2019-45;-0.31
UK (Wales);Total;2019-46;0.79
UK (Wales);Total;2019-47;0.62
UK (Wales);Total;2019-48;0.59
UK (Wales);Total;2019-49;0.12
UK (Wales);Total;2019-50;0.42
UK (Wales);Total;2019-51;1.96
UK (Wales);Total;2019-52;1.96
UK (Wales);Total;2020-01;3.25
UK (Wales);Total;2020-02;1.34
UK (Wales);Total;2020-03;-0.63
UK (Wales);Total;2020-04;-0.31
UK (Wales);Total;2020-05;1.35
UK (Wales);Total;2020-06;-0.38
UK (Wales);Total;2020-07;-0.75
UK (Wales);Total;2020-08;-2.29
UK (Wales);Total;2020-09;-2.32
UK (Wales);Total;2020-10;-0.52
UK (Wales);Total;2020-11;-0.23
UK (Wales);Total;2020-12;0.72
UK (Wales);Total;2020-13;5.1
UK (Wales);Total;2020-14;8.87
UK (Wales);Total;2020-15;14.13
UK (Wales);Total;2020-16;12.39
UK (Wales);Total;2020-17;10.05
UK (Wales);Total;2020-18;5.99
UK (Wales);Total;2020-19;4.79
UK (Wales);Total;2020-20;2.63
UK (Wales);Total;2020-21;1.04
UK (Wales);Total;2020-22;2.1
UK (Wales);Total;2020-23;1.03
UK (Wales);Total;2020-24;1.37
UK (Wales);Total;2020-25;-0.25
UK (Wales);Total;2020-26;1.74
UK (Wales);Total;2020-27;-0.28
UK (Wales);Total;2020-28;-0.04
UK (Wales);Total;2020-29;0.27
UK (Wales);Total;2020-30;0
UK (Wales);Total;2020-31;-0.06
UK (Wales);Total;2020-32;1.2
UK (Wales);Total;2020-33;1.67
UK (Wales);Total;2020-34;0.25
UK (Wales);Total;2020-35;-1.15
UK (Wales);Total;2020-36;-2.09
UK (Wales);Total;2020-37;-1.38
UK (Wales);Total;2020-38;0.21
UK (Wales);Total;2020-39;2.21
UK (Wales);Total;2020-40;0.3
UK (Wales);Total;2020-41;1.91
UK (Wales);Total;2020-42;2.19
UK (Wales);Total;2020-43;10.49
UK (Wales);Total;2020-44;16.05
UK (Wales);Total;2020-45;4.09
UK (Wales);Total;2020-46;4.22
UK (Wales);Total;2020-47;4.41
UK (Wales);Total;2020-48;3.15
UK (Wales);Total;2020-49;4.08
UK (Wales);Total;2020-50;4.84
UK (Wales);Total;2020-51;6.7
UK (Wales);Total;2020-52;5.29
UK (Wales);Total;2020-53;8.21
UK (Wales);Total;2021-01;8.56
UK (Wales);Total;2021-02;9.38
UK (Wales);Total;2021-03;6.47
UK (Wales);Total;2021-04;3.85
UK (Wales);Total;2021-05;1.7
UK (Wales);Total;2021-06;2.32
UK (Wales);Total;2021-07;0.93
UK (Wales);Total;2021-08;-2.26
UK (Wales);Total;2021-09;-1.93
UK (Wales);Total;2021-10;-2.41
UK (Wales);Total;2021-11;-2.28
UK (Wales);Total;2021-12;-3.13
UK (Wales);Total;2021-13;-2.36
UK (Wales);Total;2021-14;-2.64
UK (Wales);Total;2021-15;-3.41
UK (Wales);Total;2021-16;-1.32
UK (Wales);Total;2021-17;-2.21
UK (Wales);Total;2021-18;-1
UK (Wales);Total;2021-19;-1.6
UK (Wales);Total;2021-20;-1.03
UK (Wales);Total;2021-21;-1.39
UK (Wales);Total;2021-22;-0.97
UK (Wales);Total;2021-23;-1.27
UK (Wales);Total;2021-24;0.16
UK (Wales);Total;2021-25;-0.34
UK (Wales);Total;2021-26;1.04
UK (Wales);Total;2021-27;-0.71
UK (Wales);Total;2021-28;2.04
UK (Wales);Total;2021-29;4.66
UK (Wales);Total;2021-30;1.66
UK (Wales);Total;2021-31;2.26
UK (Wales);Total;2021-32;-0.28
UK (Wales);Total;2021-33;0.3
UK (Wales);Total;2021-34;0.55
UK (Wales);Total;2021-35;0.77
UK (Wales);Total;2021-36;1.91
UK (Wales);Total;2021-37;3.13
UK (Wales);Total;2021-38;0.36
UK (Wales);Total;2021-39;3.57
UK (Wales);Total;2021-40;2.51
UK (Wales);Total;2021-41;1.95
UK (Wales);Total;2021-42;3.61
UK (Wales);Total;2021-43;3.32
UK (Wales);Total;2021-44;0.99
UK (Wales);Total;2021-45;2.44
UK (Wales);Total;2021-46;1.62
UK (Wales);Total;2021-47;-0.66
UK (Wales);Total;2021-48;0.55
UK (Wales);Total;2021-49;1.28
UK (Wales);Total;2021-50;0.69
UK (Wales);Total;2021-51;1.98
UK (Wales);Total;2021-52;0.98
UK (Wales);Total;2022-01;1.51
UK (Wales);Total;2022-02;-0.66
UK (Wales);Total;2022-03;-2.28
UK (Wales);Total;2022-04;-1.76
UK (Wales);Total;2022-05;-1.95
UK (Wales);Total;2022-06;-2.57
UK (Wales);Total;2022-07;-2.47
UK (Wales);Total;2022-08;0.07
UK (Wales);Total;2022-09;-2.44
UK (Wales);Total;2022-10;-2.22
UK (Wales);Total;2022-11;-2.27
UK (Wales);Total;2022-12;-0.41
UK (Wales);Total;2022-13;-1.59
UK (Wales);Total;2022-14;0.66
UK (Wales);Total;2022-15;1.67
UK (Wales);Total;2022-16;-0.17
UK (Wales);Total;2022-17;0.01
UK (Wales);Total;2022-18;-0.5
UK (Wales);Total;2022-19;1.56
UK (Wales);Total;2022-20;-0.33
UK (Wales);Total;2022-21;-1.55
UK (Wales);Total;2022-22;0.13
UK (Wales);Total;2022-23;0.07
UK (Wales);Total;2022-24;1.05
UK (Wales);Total;2022-25;-0.45
UK (Wales);Total;2022-26;0.01
UK (Wales);Total;2022-27;1.11
UK (Wales);Total;2022-28;2.29
UK (Wales);Total;2022-29;3.57
UK (Wales);Total;2022-30;1.5
UK (Wales);Total;2022-31;1.69
UK (Wales);Total;2022-32;3.59
UK (Wales);Total;2022-33;2.13
UK (Wales);Total;2022-34;2.16
UK (Wales);Total;2022-35;0.29
UK (Wales);Total;2022-36;1.05
UK (Wales);Total;2022-37;0.38
UK (Wales);Total;2022-38;0.05
UK (Wales);Total;2022-39;1.28
UK (Wales);Total;2022-40;1.31
UK (Wales);Total;2022-41;0.74
UK (Wales);Total;2022-42;1.04
UK (Wales);Total;2022-43;1.11
UK (Wales);Total;2022-44;-0.63
UK (Wales);Total;2022-45;-0.48
UK (Wales);Total;2022-46;0.22
UK (Wales);Total;2022-47;-0.47
UK (Wales);Total;2022-48;-1.16
UK (Wales);Total;2022-49;1.36
UK (Wales);Total;2022-50;4.51
UK (Wales);Total;2022-51;3.73
UK (Wales);Total;2022-52;-4.32
UK (Wales);Total;2023-01;-6.72
UK (Scotland);Total;2017-03;1.11
UK (Scotland);Total;2017-04;1.74
UK (Scotland);Total;2017-05;3.52
UK (Scotland);Total;2017-06;1.4
UK (Scotland);Total;2017-07;2.31
UK (Scotland);Total;2017-08;0.77
UK (Scotland);Total;2017-09;1.57
UK (Scotland);Total;2017-10;0.79
UK (Scotland);Total;2017-11;1.16
UK (Scotland);Total;2017-12;-0.35
UK (Scotland);Total;2017-13;0.15
UK (Scotland);Total;2017-14;0.54
UK (Scotland);Total;2017-15;1.24
UK (Scotland);Total;2017-16;-0.2
UK (Scotland);Total;2017-17;1.11
UK (Scotland);Total;2017-18;0.95
UK (Scotland);Total;2017-19;1.65
UK (Scotland);Total;2017-20;0.52
UK (Scotland);Total;2017-21;0.88
UK (Scotland);Total;2017-22;0.63
UK (Scotland);Total;2017-23;0.89
UK (Scotland);Total;2017-24;0.46
UK (Scotland);Total;2017-25;-0.67
UK (Scotland);Total;2017-26;1.31
UK (Scotland);Total;2017-27;1.7
UK (Scotland);Total;2017-28;0.21
UK (Scotland);Total;2017-29;-1.22
UK (Scotland);Total;2017-30;0.05
UK (Scotland);Total;2017-31;0.2
UK (Scotland);Total;2017-32;-0.06
UK (Scotland);Total;2017-33;1.17
UK (Scotland);Total;2017-34;-0.37
UK (Scotland);Total;2017-35;-0.86
UK (Scotland);Total;2017-36;-0.56
UK (Scotland);Total;2017-37;-0.49
UK (Scotland);Total;2017-38;1.66
UK (Scotland);Total;2017-39;-0.79
UK (Scotland);Total;2017-40;0.91
UK (Scotland);Total;2017-41;1.97
UK (Scotland);Total;2017-42;-0.17
UK (Scotland);Total;2017-43;-0.68
UK (Scotland);Total;2017-44;0.44
UK (Scotland);Total;2017-45;0.16
UK (Scotland);Total;2017-46;1.57
UK (Scotland);Total;2017-47;1.84
UK (Scotland);Total;2017-48;1.27
UK (Scotland);Total;2017-49;4.02
UK (Scotland);Total;2017-50;5.03
UK (Scotland);Total;2017-51;4.84
UK (Scotland);Total;2017-52;9.77
UK (Scotland);Total;2018-01;10.57
UK (Scotland);Total;2018-02;9.53
UK (Scotland);Total;2018-03;7.53
